,Code,Year,incidents,successes,Population,EducationPctGdp,FertilityRate,IncomePerCapita,InfantMortality,Homicidesper100k
0,AFG,1970,0.0,0.0,11126123.0,,7.45,150.5673375,204.8,
1,AFG,1971,0.0,0.0,11417825.0,1.16035997867584,7.45,153.663587,201.0,
2,AFG,1972,0.0,0.0,11721940.0,1.11717998981476,7.45,130.8473597,197.0,
3,AFG,1973,1.0,0.0,12027822.0,1.42788004875183,7.45,138.2717695,193.1,
4,AFG,1974,0.0,0.0,12321541.0,,7.45,167.5078689,188.8,
5,AFG,1975,0.0,0.0,12590286.0,1.30332005023956,7.45,178.6355515,184.7,
6,AFG,1976,0.0,0.0,12840299.0,,7.45,189.1131622,180.6,
7,AFG,1977,0.0,0.0,13067538.0,,7.449,214.7444372,176.3,
8,AFG,1978,0.0,0.0,13237734.0,,7.449,236.9159463,172.0,
9,AFG,1979,3.0,3.0,13306695.0,1.73397994041443,7.449,263.6614699,167.7,
10,AFG,1980,0.0,0.0,13248370.0,1.83639001846313,7.449,259.3380141,163.3,
11,AFG,1981,0.0,0.0,13053954.0,1.90443003177643,7.449,252.11076839999998,158.9,
12,AFG,1982,0.0,0.0,12749645.0,1.73198997974396,7.45,,154.4,
13,AFG,1983,0.0,0.0,12389269.0,,7.452000000000001,,149.8,
14,AFG,1984,0.0,0.0,12047115.0,,7.455,,145.6,
15,AFG,1985,0.0,0.0,11783050.0,,7.457999999999999,,141.3,
16,AFG,1986,0.0,0.0,11601041.0,,7.46,,137.0,
17,AFG,1987,1.0,1.0,11502761.0,,7.461,,132.7,
18,AFG,1988,11.0,11.0,11540888.0,,7.461,,128.5,
19,AFG,1989,10.0,6.0,11777609.0,,7.461,,124.3,
20,AFG,1990,2.0,2.0,12249114.0,,7.466,,120.2,
21,AFG,1991,30.0,30.0,12993657.0,,7.479,,116.4,
22,AFG,1992,36.0,29.0,13981231.0,,7.502000000000001,,112.9,
23,AFG,1993,0.0,0.0,15095099.0,,7.535,,109.5,
24,AFG,1994,9.0,9.0,16172719.0,,7.572,,106.3,
25,AFG,1995,6.0,5.0,17099541.0,,7.606,,103.3,
26,AFG,1996,4.0,3.0,17822884.0,,7.63,,100.5,
27,AFG,1997,1.0,1.0,18381605.0,,7.635,,97.9,
28,AFG,1998,1.0,1.0,18863999.0,,7.6160000000000005,,95.4,
29,AFG,1999,9.0,9.0,19403676.0,,7.569,,93.1,
30,AFG,2000,14.0,14.0,20093756.0,,7.494,,90.8,
31,AFG,2001,14.0,14.0,20966463.0,,7.392,106.8128139,88.4,
32,AFG,2002,38.0,28.0,21979923.0,,7.271,169.8841288,86.1,
33,AFG,2003,100.0,93.0,23064851.0,,7.136,178.7250741,83.6,
34,AFG,2004,88.0,79.0,24118979.0,,6.9879999999999995,196.1998917,81.1,
35,AFG,2005,155.0,150.0,25070798.0,,6.827000000000001,225.79861499999998,78.5,
36,AFG,2006,282.0,273.0,25893450.0,,6.651,245.1461538,76.0,
37,AFG,2007,341.0,336.0,26616792.0,,6.46,331.32549930000005,73.4,
38,AFG,2008,414.0,385.0,27294031.0,,6.254,331.2271678,70.8,
39,AFG,2009,503.0,477.0,28004331.0,,6.037999999999999,395.5679021,68.2,4.0
40,AFG,2010,542.0,497.0,28803167.0,3.46148991584778,5.816,486.9793222,65.7,3.4
41,AFG,2011,421.0,397.0,29708599.0,3.43914008140564,5.595,535.3307235000001,63.3,4.1
42,AFG,2012,1469.0,1344.0,30696958.0,2.5275399684906,5.38,590.4566662000001,61.0,6.3
43,AFG,2013,1443.0,1333.0,31731688.0,3.48140001296997,5.1739999999999995,559.223161,58.8,
44,AFG,2014,1824.0,1665.0,32758020.0,3.78028011322021,4.981,548.5265822,56.8,
45,AFG,2015,1928.0,1627.0,33736494.0,3.31753993034363,4.802,494.2921982,54.9,10.0
46,AFG,2016,1617.0,1210.0,34656032.0,,4.635,489.7756091,53.2,6.6
47,AFG,2017,1414.0,1109.0,,,,,,7.1
48,AFG,2018,0.0,0.0,,,,,,
49,AFG,2019,0.0,0.0,,,,,,
100,ALB,1970,0.0,0.0,2135479.0,,4.91,,,
101,ALB,1971,0.0,0.0,2187853.0,,4.775,,,
102,ALB,1972,0.0,0.0,2243126.0,,4.6419999999999995,,,
103,ALB,1973,0.0,0.0,2296752.0,,4.5089999999999995,,,
104,ALB,1974,0.0,0.0,2350124.0,,4.373,,,
105,ALB,1975,0.0,0.0,2404831.0,,4.235,,,
106,ALB,1976,0.0,0.0,2458526.0,,4.099,,,
107,ALB,1977,0.0,0.0,2513546.0,,3.966,,,
108,ALB,1978,0.0,0.0,2566266.0,,3.841,,72.7,
109,ALB,1979,0.0,0.0,2617832.0,,3.725,,68.0,
110,ALB,1980,0.0,0.0,2671997.0,,3.6210000000000004,,63.4,
111,ALB,1981,1.0,1.0,2726056.0,,3.53,,59.1,
112,ALB,1982,0.0,0.0,2784278.0,,3.452,,55.4,
113,ALB,1983,0.0,0.0,2843960.0,,3.383,,51.7,
114,ALB,1984,0.0,0.0,2904429.0,,3.323,519.8238187,48.4,
115,ALB,1985,0.0,0.0,2964762.0,,3.2689999999999997,522.3605453,45.3,
116,ALB,1986,0.0,0.0,3022635.0,,3.217,624.3746065,42.5,
117,ALB,1987,0.0,0.0,3083605.0,,3.1639999999999997,595.0007801,40.1,
118,ALB,1988,0.0,0.0,3142336.0,,3.108,575.7327444,38.0,
119,ALB,1989,0.0,0.0,3227943.0,,3.0460000000000003,611.5528435,36.2,
120,ALB,1990,1.0,1.0,3286542.0,,2.978,539.5648334,34.7,
121,ALB,1991,1.0,1.0,3266790.0,,2.905,290.3006411,33.3,
122,ALB,1992,3.0,2.0,3247039.0,,2.8289999999999997,175.5259872,32.1,4.0
123,ALB,1993,0.0,0.0,3227287.0,,2.7510000000000003,341.923968,31.0,6.0
124,ALB,1994,2.0,2.0,3207536.0,3.2632999420166,2.6719999999999997,571.3529041,30.0,3.6
